#category	Emean	err_Emean	rho	err_rho	phi	err_phi
absEta_0.0_1.0-R9_0.0_0.96	6.6	0.0	0.008515454969189751	5e-05	M_PI_2	M_PI_2
absEta_1.0_1.2-R9_0.0_0.96	6.6	0.0	0.017041773588369568	5e-05	M_PI_2	M_PI_2
absEta_1.2_1.4442-R9_0.0_0.96	6.6	0.0	0.020031596705704775	5e-05	M_PI_2	M_PI_2
absEta_1.5659999999999998_2.0-R9_0.0_0.96	6.6	0.0	0.019541669169743817	5e-05	M_PI_2	M_PI_2
absEta_2.0_2.5-R9_0.0_0.96	6.6	0.0	0.011046811165373297	5e-05	M_PI_2	M_PI_2
absEta_0.0_1.0-R9_0.96_10.0	6.6	0.0	0.0075611484784383984	5e-05	M_PI_2	M_PI_2
absEta_1.0_1.2-R9_0.96_10.0	6.6	0.0	0.015541656118738797	5e-05	M_PI_2	M_PI_2
absEta_1.2_1.4442-R9_0.96_10.0	6.6	0.0	0.01903905105034159	5e-05	M_PI_2	M_PI_2
absEta_1.5659999999999998_2.0-R9_0.96_10.0	6.6	0.0	0.016540124191740144	5e-05	M_PI_2	M_PI_2
absEta_2.0_2.5-R9_0.96_10.0	6.6	0.0	0.00705433050462054	5e-05	M_PI_2	M_PI_2
