#category	Emean	err_Emean	rho	err_rho	phi	err_phi
absEta_0.0_1.0-R9_0.0_0.96	6.6	0.0	0.009380748378738963	5e-05	M_PI_2	M_PI_2
absEta_1.0_1.2-R9_0.0_0.96	6.6	0.0	0.015827371187704505	5e-05	M_PI_2	M_PI_2
absEta_1.2_1.4442-R9_0.0_0.96	6.6	0.0	0.01783022339204663	5e-05	M_PI_2	M_PI_2
absEta_1.5659999999999998_2.0-R9_0.0_0.96	6.6	0.0	0.017317024739011016	5e-05	M_PI_2	M_PI_2
absEta_2.0_2.5-R9_0.0_0.96	6.6	0.0	0.009466577239706378	5e-05	M_PI_2	M_PI_2
absEta_0.0_1.0-R9_0.96_10.0	6.6	0.0	0.008122303026590994	5e-05	M_PI_2	M_PI_2
absEta_1.0_1.2-R9_0.96_10.0	6.6	0.0	0.014344060824103206	5e-05	M_PI_2	M_PI_2
absEta_1.2_1.4442-R9_0.96_10.0	6.6	0.0	0.01639492654083725	5e-05	M_PI_2	M_PI_2
absEta_1.5659999999999998_2.0-R9_0.96_10.0	6.6	0.0	0.014888674900338298	5e-05	M_PI_2	M_PI_2
absEta_2.0_2.5-R9_0.96_10.0	6.6	0.0	0.005500104337093026	5e-05	M_PI_2	M_PI_2
